"Fecha","Agencia","Numerador","Emision","Cancelada","Denominador","Tasa"
"2026-08-24","SAN ANTONIO","251","250","32","218","115,14"
"2026-08-24","TOTAL","1838","2322","243","2079","88,41"
"2026-08-24","VALPARAISO","550","775","87","688","79,94"
"2026-08-24","VINA DEL MAR","1037","1297","124","1173","88,41"
"2026-08-26","SAN ANTONIO","270","335","39","296","91,22"
"2026-08-26","TOTAL","2023","3102","323","2779","72,8"
"2026-08-26","VALPARAISO","606","1015","114","901","67,26"
"2026-08-26","VINA DEL MAR","1147","1752","170","1582","72,5"
"2026-08-27","SAN ANTONIO","281","335","39","296","94,93"
"2026-08-27","TOTAL","2126","3102","323","2779","76,5"
"2026-08-27","VALPARAISO","642","1015","114","901","71,25"
"2026-08-27","VINA DEL MAR","1203","1752","170","1582","76,04"
"2026-08-28","SAN ANTONIO","294","335","39","296","99,32"
"2026-08-28","TOTAL","2235","3102","323","2779","80,42"
"2026-08-28","VALPARAISO","683","1015","114","901","75,8"
"2026-08-28","VINA DEL MAR","1258","1752","170","1582","79,52"
"2026-08-29","SAN ANTONIO","304","335","39","296","102,7"
"2026-08-29","TOTAL","2346","3102","323","2779","84,42"
"2026-08-29","VALPARAISO","725","1015","114","901","80,47"
"2026-08-29","VINA DEL MAR","1317","1752","170","1582","83,25"
"2026-08-30","SAN ANTONIO","304","335","39","296","102,7"
"2026-08-30","TOTAL","2346","3102","323","2779","84,42"
"2026-08-30","VALPARAISO","725","1015","114","901","80,47"
"2026-08-30","VINA DEL MAR","1317","1752","170","1582","83,25"
"2026-08-31","SAN ANTONIO","316","335","39","296","106,76"
"2026-08-31","TOTAL","2447","3102","323","2779","88,05"
"2026-08-31","VALPARAISO","757","1015","114","901","84,02"
"2026-08-31","VINA DEL MAR","1374","1752","170","1582","86,85"
